,word,onset,offset
696,eens,235.82,235.97
697,kameraad,235.97,236.56
698,zeiden,236.91,237.11
699,zij,237.11,237.3
700,Je,237.78,237.87
701,bent,237.87,238.04
702,zo,238.04,238.29
703,lelijk,238.29,238.63
704,dat,238.84,239.01
705,je,239.01,239.05
706,goed,239.05,239.27
707,bij,239.27,239.41
708,ons,239.41,239.56
709,past,239.56,239.85
710,Wil,240.49,240.68
711,je,240.68,240.72
712,met,240.72,240.92
713,ons,240.92,241.02
714,meegaan,241.02,241.5
715,en,241.71,241.82
716,trekvogel,241.82,242.5
717,worden,242.5,242.78
718,Hier,243.56,243.72
719,dichtbij,243.72,244.17
720,in,244.17,244.31
721,een,244.31,244.37
722,ander,244.37,244.68
723,moeras,244.68,245.14
724,zijn,245.39,245.54
725,enige,245.54,245.87
726,aardige,245.87,246.37
727,wilde,246.37,246.62
728,ganzen,246.62,247.1
729,allemaal,247.41,247.73
730,dames,247.73,248.21
731,die,248.57,248.67
732,evenals,248.67,249.06
733,jij,249.06,249.31
734,kwak,249.64,249.89
735,kunnen,250.05,250.23
736,zeggen,250.23,250.55
737,Je,251.22,251.28
738,kunt,251.28,251.48
739,je,251.48,251.53
740,fortuin,251.53,252.01
741,daar,252.01,252.26
742,wel,252.26,252.39
743,maken,252.39,252.84
744,hoe,253.2,253.38
745,lelijk,253.38,253.74
746,je,253.74,253.8
747,ook,253.8,253.91
748,wezen,253.91,254.2
749,mag,254.2,254.53
750,Pief,255.55,255.94
751,Paf,256.04,256.33
752,Poef,256.43,256.85
753,Klonk,257.32,257.52
754,het,257.52,257.6
755,juist,257.6,257.85
756,En,258.34,258.51
757,de,258.51,258.59
758,beide,258.59,258.93
759,wilde,258.93,259.23
760,genten,259.23,259.65
761,vielen,259.92,260.13
762,dood,260.13,260.49
763,in,260.55,260.66
764,het,260.66,260.76
765,riet,260.76,260.93
766,neer,260.99,261.28
767,En,261.79,261.89
768,het,261.89,262.0
769,water,262.0,262.42
770,werd,262.67,262.79
771,bloedrood,262.98,263.56
772,gekleurd,263.56,264.08
773,Pief,265.18,265.47
774,Paf,265.65,265.84
775,Poef,266.07,266.55
776,Klonk,267.16,267.34
777,het,267.34,267.44
778,weer,267.44,267.68
779,En,268.29,268.41
780,nu,268.41,268.63
781,vlogen,268.63,269.02
782,er,269.02,269.1
783,gehele,269.1,269.62
784,scharen,269.62,270.14
785,wilde,270.36,270.59
786,ganzen,270.59,271.05
787,uit,271.05,271.25
788,het,271.3,271.35
789,riet,271.35,271.55
790,op,271.55,271.68
791,En,272.42,272.56
792,toen,272.66,272.88
793,deed,272.88,273.04
794,zich,273.04,273.15
795,andermaal,273.21,273.59
796,een,273.59,273.63
